id_operator,id_document,designation,item_code,ia_product,id_etablishment,conditioning_unit,quantity,unit_price_without_tax,item_discount
47,36036,Courgette 14/21 1KX10 c1 ES,107447,courgette,264,KG,3.0,2.187,0.0
47,36036,HF thym sac 100g MA,110720,thym entier,264,SAC,1.0,2.97,0.0
47,36036,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36036,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,40.0,1.15,0.0
47,36036,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,1.0,6.84,0.0
47,36036,Fraise ronde film bq 500gX8 c1 BE,120450,fraise,264,BQT,1.0,5.74,0.0
47,36036,Poivron vert 70/90 1KX5 c1 REG,149653,poivron vert entier,264,KG,3.0,4.097,0.0
47,36036,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,9.0,2.95,0.0
47,36036,Poivron rouge 80/100 1KX5 c1 REG,178967,poivron rouge entier,264,KG,3.0,3.813,0.0
47,36036,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,2.0,6.555,0.0
47,36036,HF basilic sac 100g KE,195823,basilic frais,264,SAC,3.0,1.9,0.0
47,36036,HF basilic sac 100g KE,195823,basilic frais,264,SAC,10.0,1.9,0.0
47,36036,Tom cer rde 4K c1 REG,205327,tomate cerise rouge,264,KG,4.0,4.9,0.0
47,36036,Fleur viola 1bq FR,209681,sel fleur,264,BQT,12.0,6.555,0.0
47,36036,Palourde japonaise sauv moyen 3K,101723,palourde,264,KG,15.0,13.9,0.0
47,36037,Ail pele 4G 1KX12 CN°,197940,ail pele,264,KG,1.0,6.55,0.0
47,36037,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,1.0,5.2,0.0
47,36037,Oignon rge 50/70 5K c1 FR,106534,oignon rouge,264,KG,5.0,1.9,0.0
47,36037,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,3.0,2.95,0.0
47,36037,Courgette 14/21 1KX10 c1 ES,107447,courgette,264,KG,3.0,1.853,0.0
47,36037,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,3.0,1.9,0.0
47,36037,Fraise ronde film bq 500gX8 c1 BE,120450,fraise,264,BQT,2.0,5.73,0.0
47,36037,Radis blue meat ~5K FR°°,166413,radis blue meat,264,KG,5.0,4.114,0.0
47,36037,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
