interpretation_product,conditioning,price,weight_in_g,cluster,price_original,weight_original
noisette entiere,CAR 5 KG          ,9.45,5000.0,0,9.45,5000.0
oignon jaune,(10 kg) Sac 10 kg,0.9921428571428572,10000.0,0,0.9921428571428574,10000.0
oignon jaune,Sac 10 kg,1.02,10000.0,0,1.0200000000000005,10000.0
oignon rouge,(10 kg) Sac 10 kg,1.54,10000.0,0,1.54,10000.0
orange jus naveline,(15 kg) Colis 16 kg,1.29,15000.0,0,1.29,15000.0
orangina 50cl,CAISSE ORANGINA 39,0.71,39.0,0,0.7099999999999991,39.0
pain cereales,590 g,4.37,590.0,0,4.37,590.0
patate douce,(6 kg) Colis 6 kg,2.3133333333333335,6000.0,0,2.3133333333333335,6000.0
peche jaune,(4 kg) Colis 4 kg,3.72,4000.0,0,3.72,4000.0
petit pois frais,(5 kg) Colis 5 kg,8.58,5000.0,0,8.58,5000.0
poire conference,(14 kg) Colis 7 kg,2.81,14000.0,0,2.8100000000000005,14000.0
poire conference,(7 kg) Colis 7 kg,2.76,7000.0,0,2.76,7000.0
pois gourmand,u Barquette 250Gr,4.78,250.0,0,4.78,250.0
poivron jaune entier,(5 kg) Colis 5 kg,3.78,5000.0,0,3.78,5000.0
poivron jaune entier,Colis 5 kg,4.05,5000.0,0,4.05,5000.0
poivron rouge entier,(5 kg) Colis 5 kg,3.1422222222222222,5000.0,0,3.1422222222222222,5000.0
poivron rouge entier,Colis 5 kg,3.97,5000.0,0,3.97,5000.0
poivron rouge entier,kg) Colis 5 kg,2.88,5000.0,0,2.88,5000.0
poivron vert entier,kg) Colis 5 kg,2.64,5000.0,0,2.6400000000000006,5000.0
pomme de terre agria,(25 kg) Sac 25 kg,1.22,25000.0,0,1.2199999999999998,25000.0
pomme de terre grenaille,(10 kg) Colis 10 kg,18.90818181818182,10000.0,1,18.90818181818182,10000.0
pomme de terre grenaille,(20 kg) Colis 10 kg,19.113333333333333,20000.0,1,19.113333333333333,20000.0
pomme de terre grenaille,(30 kg) Colis 10 kg,18.147333333333332,30000.0,2,18.147333333333332,30000.0
pomme de terre grenaille,(40 kg) Colis 10 kg,19.48,40000.0,2,19.48,40000.00000000001
pomme de terre grenaille,(50 kg) Colis 10 kg,18.66,50000.0,2,18.66,50000.0
pomme de terre grenaille,(60 kg) Colis 10 kg,20.02,60000.0,2,20.019999999999996,60000.0
pomme de terre grenaille,(70 kg) Colis 10 kg,18.66,70000.0,2,18.66,70000.0
salade mache,u Barquette 150Gr,1.875,150.0,0,1.875,150.0
seau glace,Sac de 2 kg,1.3,2000.0,0,1.2999999999999998,2000.0
sirop fraise,(0.5 kg) Barquette 500gr,12.87,500.0,1,12.87,500.0
sirop fraise,(2.5 kg) Barquette 500gr,12.87,2500.0,1,12.87,2499.999999999999
sirop fraise,u Barquette 500gr,10.45,500.0,1,10.45,500.0
sucre inverti,BUC 11 KG       ,2.265,11000.0,0,2.2650000000000006,11000.0
sucre inverti,BUC 11 KG         ,2.2742857142857145,11000.0,0,2.274285714285714,11000.0
sucre poudre,BAG 10 KG         ,3.4000000000000004,10000.0,0,3.4,10000.0
tomate ananas,(5 kg) Colis 5 kg,4.506666666666667,5000.0,0,4.506666666666667,5000.0
tomate ananas,(5.52 kg) Colis 5 kg,4.18,5520.0,0,4.18,5520.0
tomate ananas,(6 kg) Colis 5 kg,4.82,6000.0,0,4.82,6000.0
tomate ananas,(7 kg) Colis 5 kg,3.05,7000.0,0,3.05,7000.0
tomate coeur boeuf,"(3.5 kg) Colis 3,5 kg",3.5,3500.0,0,3.5,3500.0
tomate coeur boeuf,(4 kg) Colis 5 kg,4.0,4000.0,0,4.0,4000.0
tomate grappe,(10 kg) Colis 5 kg,2.25,10000.0,0,2.25,10000.0
tomate grappe,(5 kg) Colis 5 kg,2.0791304347826087,5000.0,0,2.079130434782609,5000.0
tomate grappe,(5.5 kg) Colis 5 kg,2.15,5500.0,0,2.1500000000000004,5500.0
tomate grappe,Colis 5 kg,2.25,5000.0,0,2.25,5000.0
tomate noir crimee,(4 kg) Colis 5 kg,4.0,4000.0,0,4.0,4000.0
tomate noir crimee,(5 kg) Colis 5 kg,4.03,5000.0,0,4.03,5000.0
tomate noir crimee,(6 kg) Colis 5 kg,4.82,6000.0,0,4.82,6000.0
tomate noir crimee,(7 kg) Colis 5 kg,4.0,7000.0,0,4.0,7000.0
